week,region,channel,requests_k,p50_ms,p95_ms,errors
27,eu-west,stable,306.2,39.8,98.9,347
27,eu-west,canary,37.8,51.1,117.1,67
27,us-east,stable,444.0,38.0,87.2,463
27,us-east,canary,59.6,46.1,111.5,118
27,ap-south,stable,131.3,62.3,154.3,115
27,ap-south,canary,16.6,79.8,189.4,26
28,eu-west,stable,262.5,39.5,93.0,308
28,eu-west,canary,39.2,48.4,128.2,74
28,us-east,stable,489.9,36.3,87.1,547
28,us-east,canary,55.4,45.8,108.2,109
28,ap-south,stable,135.0,61.3,143.3,156
28,ap-south,canary,18.6,71.0,162.4,37
29,eu-west,stable,270.1,40.2,98.9,294
29,eu-west,canary,38.6,48.7,119.0,92
29,us-east,stable,413.4,37.7,94.2,480
29,us-east,canary,56.1,42.7,100.3,91
29,ap-south,stable,126.9,55.9,130.5,145
29,ap-south,canary,17.7,68.3,152.0,27
30,eu-west,stable,263.3,42.7,107.5,281
30,eu-west,canary,38.2,47.5,114.9,61
30,us-east,stable,477.4,37.3,94.9,524
30,us-east,canary,56.1,42.1,96.0,112
30,ap-south,stable,120.9,61.3,144.1,124
30,ap-south,canary,18.8,70.9,171.4,28
31,eu-west,stable,271.3,42.3,102.7,296
31,eu-west,canary,36.6,48.2,115.7,87
31,us-east,stable,437.2,37.2,91.6,489
31,us-east,canary,55.8,42.5,100.7,108
31,ap-south,stable,114.5,60.5,147.0,130
31,ap-south,canary,19.3,70.3,167.7,28
32,eu-west,stable,286.1,39.9,94.7,318
32,eu-west,canary,39.7,46.0,108.2,67
32,us-east,stable,427.8,37.3,89.9,487
32,us-east,canary,53.4,42.5,104.1,95
32,ap-south,stable,139.6,56.4,132.9,142
32,ap-south,canary,18.2,65.0,152.4,39
33,eu-west,stable,298.4,38.5,86.4,352
33,eu-west,canary,38.7,46.7,107.5,67
33,us-east,stable,480.5,36.4,84.6,533
33,us-east,canary,56.7,40.4,94.9,94
33,ap-south,stable,127.8,169.1,495.9,1132
33,ap-south,canary,16.8,184.6,525.2,255
34,eu-west,stable,262.7,41.1,101.9,250
34,eu-west,canary,36.3,43.9,97.3,68
34,us-east,stable,450.6,34.5,83.0,494
34,us-east,canary,61.0,35.7,83.0,102
34,ap-south,stable,142.4,54.6,129.5,149
34,ap-south,canary,18.0,61.2,141.0,36
35,eu-west,stable,284.3,37.9,97.9,303
35,eu-west,canary,39.3,43.5,103.2,55
35,us-east,stable,438.5,32.8,77.8,493
35,us-east,canary,54.6,37.6,87.9,81
35,ap-south,stable,129.8,55.8,133.0,151
35,ap-south,canary,18.0,58.0,145.1,39
36,eu-west,stable,244.1,37.8,89.2,281
36,eu-west,canary,37.1,38.2,88.2,75
36,us-east,stable,442.2,32.2,70.7,508
36,us-east,canary,62.2,35.9,83.2,123
36,ap-south,stable,134.5,55.9,130.3,169
36,ap-south,canary,15.8,58.1,137.8,32
37,eu-west,stable,276.5,39.7,99.8,311
37,eu-west,canary,34.1,37.8,90.2,59
37,us-east,stable,462.8,35.1,87.2,515
37,us-east,canary,62.2,35.0,82.9,124
37,ap-south,stable,124.3,56.1,135.1,136
37,ap-south,canary,15.7,60.3,149.6,26
38,eu-west,stable,234.3,37.0,87.8,266
38,eu-west,canary,38.1,37.4,91.1,70
38,us-east,stable,442.8,33.6,81.0,497
38,us-east,canary,54.4,32.5,84.2,109
38,ap-south,stable,137.0,52.9,127.4,143
38,ap-south,canary,17.1,53.5,129.0,39
39,eu-west,stable,283.1,35.2,82.9,324
39,eu-west,canary,35.0,34.5,82.8,67
39,us-east,stable,438.0,33.9,81.5,485
39,us-east,canary,57.8,32.2,76.7,112
39,ap-south,stable,133.7,52.8,128.8,145
39,ap-south,canary,18.0,51.3,128.0,45
